boundary_state,boundary_district,ifi_district_candidates,match_status,reason
,,Parts of Himachal Pradesh,IFI_ONLY,IFI district token absent from boundary exact names
,,Parts of Jammu,IFI_ONLY,IFI district token absent from boundary exact names
,,Parts of Jharkhand,IFI_ONLY,IFI district token absent from boundary exact names
,,Parts of Karnataka,IFI_ONLY,IFI district token absent from boundary exact names
,,Parts of Lahul & Spitti,IFI_ONLY,IFI district token absent from boundary exact names
,,Parts of Maharashtra,IFI_ONLY,IFI district token absent from boundary exact names
,,Parts of Meghalaya,IFI_ONLY,IFI district token absent from boundary exact names
,,Parts of Nagaland,IFI_ONLY,IFI district token absent from boundary exact names
,,Parts of Orissa,IFI_ONLY,IFI district token absent from boundary exact names
,,Parts of Rajasthan,IFI_ONLY,IFI district token absent from boundary exact names
,,Parts of Sikkim,IFI_ONLY,IFI district token absent from boundary exact names
,,Parts of Telangana,IFI_ONLY,IFI district token absent from boundary exact names
,,Parts of Uttar Kashiakhand,IFI_ONLY,IFI district token absent from boundary exact names
,,Parts of Uttar Pradesh,IFI_ONLY,IFI district token absent from boundary exact names
,,Parts of West Bengal,IFI_ONLY,IFI district token absent from boundary exact names
,,Paschim Medinipur,IFI_ONLY,IFI district token absent from boundary exact names
