boundary_state,boundary_district,ifi_district_candidates,match_status,reason
Tamil Nadu,The Nilgiris,The Nilgiris,EXACT_MATCH,Exact district-name token match
Tamil Nadu,Theni,Theni,EXACT_MATCH,Exact district-name token match
Tamil Nadu,Thiruvallur,Thiruvallur,EXACT_MATCH,Exact district-name token match
Kerala,Thiruvananthapuram,Thiruvananthapuram,EXACT_MATCH,Exact district-name token match
Tamil Nadu,Thiruvarur,Thiruvarur,EXACT_MATCH,Exact district-name token match
Tamil Nadu,Thoothukkudi,Thoothukkudi,EXACT_MATCH,Exact district-name token match
Manipur,Thoubal,Thoubal,EXACT_MATCH,Exact district-name token match
Kerala,Thrissur,Thrissur,EXACT_MATCH,Exact district-name token match
Madhya Pradesh,Tikamgarh,Tikamgarh,EXACT_MATCH,Exact district-name token match
Assam,Tinsukia,Tinsukia,EXACT_MATCH,Exact district-name token match
Arunanchal Pradesh,Tirap,Tirap,EXACT_MATCH,Exact district-name token match
Tamil Nadu,Tiruchirappalli,Tiruchirappalli,EXACT_MATCH,Exact district-name token match
Tamil Nadu,Tirunelveli,Tirunelveli,EXACT_MATCH,Exact district-name token match
Tamil Nadu,Tiruppur,Tiruppur,EXACT_MATCH,Exact district-name token match
Tamil Nadu,Tiruvannamalai,Tiruvannamalai,EXACT_MATCH,Exact district-name token match
Rajasthan,Tonk,Tonk,EXACT_MATCH,Exact district-name token match
Nagaland,Tuensang,Tuensang,EXACT_MATCH,Exact district-name token match
Karnataka,Tumkur,,BOUNDARY_ONLY,No exact or normalized IFI district token match
Rajasthan,Udaipur,Udaipur,EXACT_MATCH,Exact district-name token match
Assam,Udalguri,Udalguri,EXACT_MATCH,Exact district-name token match
Uttarakhand,Udham Singh Nagar,,BOUNDARY_ONLY,No exact or normalized IFI district token match
Jammu & Kashmir,Udhampur,Udhampur,EXACT_MATCH,Exact district-name token match
Karnataka,Udupi,Udupi,EXACT_MATCH,Exact district-name token match
Madhya Pradesh,Ujjain,Ujjain,EXACT_MATCH,Exact district-name token match
Manipur,Ukhrul,Ukhrul,EXACT_MATCH,Exact district-name token match
Madhya Pradesh,Umaria,Umaria,EXACT_MATCH,Exact district-name token match
Himachal Pradesh,Una,Una,EXACT_MATCH,Exact district-name token match
Uttar Pradesh,Unnao,Unnao,EXACT_MATCH,Exact district-name token match
Arunanchal Pradesh,Upper Siang,Upper Siang,EXACT_MATCH,Exact district-name token match
Arunanchal Pradesh,Upper Subansiri,,BOUNDARY_ONLY,No exact or normalized IFI district token match
Chhattisgarh,Uttar Bastar Kanker,,BOUNDARY_ONLY,No exact or normalized IFI district token match
West Bengal,Uttar Dinajpur,,BOUNDARY_ONLY,No exact or normalized IFI district token match
Karnataka,Uttara Kannada,,BOUNDARY_ONLY,No exact or normalized IFI district token match
Uttarakhand,Uttarkashi,Uttar Kashi,NORMALIZED_MATCH_REQUIRES_VERIFICATION,Case/punctuation/whitespace-normalized match; state context and historical identity require verification
Gujarat,Vadodara,Vadodara,EXACT_MATCH,Exact district-name token match
Bihar,Vaishali,Vaishali,EXACT_MATCH,Exact district-name token match
Gujarat,Valsad,Valsad,EXACT_MATCH,Exact district-name token match
Uttar Pradesh,Varanasi,Varanasi,EXACT_MATCH,Exact district-name token match
Tamil Nadu,Vellore,Vellore,EXACT_MATCH,Exact district-name token match
Madhya Pradesh,Vidisha,Vidisha,EXACT_MATCH,Exact district-name token match
Tamil Nadu,Viluppuram,Viluppuram,EXACT_MATCH,Exact district-name token match
Tamil Nadu,Virudunagar,,BOUNDARY_ONLY,No exact or normalized IFI district token match
Andhra Pradesh,Visakhapatnam,Visakhapatnam,EXACT_MATCH,Exact district-name token match
Andhra Pradesh,Vizianagaram,Vizianagaram,EXACT_MATCH,Exact district-name token match
Andhra Pradesh,Warangal,Warangal,EXACT_MATCH,Exact district-name token match
Maharashtra,Wardha,Wardha,EXACT_MATCH,Exact district-name token match
Maharashtra,Washim,Washim,EXACT_MATCH,Exact district-name token match
Kerala,Wayanad,Wayanad,EXACT_MATCH,Exact district-name token match
NCT of Delhi,West,West,EXACT_MATCH,Exact district-name token match
