Model,MAE,MSE,RMSE,R2,Mean_Error_Bias,Median_Absolute_Error,Maximum_Absolute_Error,Error_Actual_Correlation,Overprediction_Count,Underprediction_Count,Exact_Match_Count
ResNet + BiLSTM,2.296399433343619,11.288813964075809,3.359883028332357,0.08341888475292347,-0.19882234971757023,1.3762657136938476,15.774067020998537,0.7425590614153382,68,41,0
Random Forest Regressor,2.4160814305299434,12.491308092411899,3.534304470813444,-0.014216120371247642,0.2630282772576764,1.5424390457723538,16.526166601763308,0.5596690950110382,71,38,0
CNN + Transformer,2.4272923582323758,11.93187525141968,3.4542546593179373,0.031206328695080665,0.27203330083425203,1.6705457872298584,15.451525307283937,0.5473214793298724,70,39,0
CNN + LSTM,2.4337615776151984,11.399250727687727,3.376277643750248,0.07445211000778063,0.1690118595845795,1.6561959980218506,15.373348808870851,0.674391584947834,73,36,0
Linear Regression,2.5678849382628175,12.858600047617818,3.5858890177496874,-0.04403793079307272,0.24120317235699792,2.0805272521264646,15.285212612734377,0.6621112788058418,72,37,0
