Model,Task,MAE,RMSE,R2,Validation MAE,Validation RMSE,Training Time,Best Epoch,Diagnosis,Correction
CNN + LSTM,regression,2.4337615867670297,3.376277683319599,0.07445211123932693,2.331373286134732,3.56934521259246,5.939362800001618,29.0,UNDERFITTING,none
CNN + Transformer,regression,2.4272923687579206,3.454254695469931,0.031206332413679316,2.2315233158823067,3.449541255003368,9.264387299999726,21.0,UNDERFITTING,none
ResNet + BiLSTM,regression,2.2963994500137024,3.359883070675933,0.08341888435407951,2.16509003848727,3.569584428413807,7.555938499999684,11.0,UNDERFITTING,none
Linear Regression,regression,2.567885160446167,3.585888964089764,-0.044037818908691406,2.4982118606567383,3.710108228683158,0.012981800000488875,,not applicable,not applicable
Random Forest Regressor,regression,2.416081441707446,3.5343045082328404,-0.014216116724862893,2.5984362670267567,3.9971374658262664,0.31760399999984656,,not applicable,not applicable
